Start recording training loss ...
0	0	0.6833133101463318
0	1	8.188647270202637
0	2	8.077445030212402
0	3	43.36507034301758
0	4	10.100208282470703
0	5	5.449214935302734
0	6	2.7809011936187744
0	7	4.124301910400391
0	8	2.1798086166381836
0	9	2.369131326675415
0	10	1.1658021211624146
1	0	1.8255469799041748
1	1	1.4846867322921753
1	2	1.0833324193954468
1	3	3.22459077835083
1	4	5.2663493156433105
1	5	3.0271096229553223
1	6	1.7599018812179565
1	7	3.514155864715576
1	8	0.8653813600540161
1	9	1.5041362047195435
1	10	1.3218494653701782
2	0	1.7234570980072021
2	1	1.1351490020751953
2	2	1.000251054763794
2	3	1.4248055219650269
2	4	1.0655888319015503
2	5	0.8328903317451477
2	6	1.0309288501739502
2	7	2.140016555786133
2	8	1.2000569105148315
2	9	1.159151315689087
2	10	0.4571366608142853
3	0	0.9769949913024902
3	1	0.5469127893447876
3	2	0.6565727591514587
3	3	0.5055743455886841
3	4	0.7283039093017578
3	5	0.5597782135009766
3	6	0.4851630926132202
3	7	0.31312263011932373
3	8	1.4539682865142822
3	9	1.3517992496490479
3	10	1.9728604555130005
4	0	0.9332406520843506
4	1	0.2581283152103424
4	2	0.546598494052887
4	3	0.6399928331375122
4	4	0.6720762252807617
4	5	1.0666402578353882
4	6	4.833139896392822
4	7	0.4034646153450012
4	8	2.3479158878326416
4	9	1.9696753025054932
4	10	2.1469528675079346
